"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"151693";"82998";"97775.56";"0.00";"0";"9777.56";"5000.00"
"151681";"136700";"171360";"0.00";"0";"17136.00";"17524.00"
"151694";"95246";"111384.4";"0.00";"0";"11138.40";"5000.00"
"151709";"133085";"171360";"0.00";"0";"17136.00";"21139.00"
"151714";"83906";"98784.4";"0.00";"0";"9878.40";"5000.00"
"151717";"149224";"171360";"0.00";"0";"17136.00";"5000.00"
"151751";"154224";"171360";"0.00";"0";"17136.00";"0.00"
"151756";"143781";"165312.22";"0.00";"0";"16531.22";"5000.00"
"151772";"119952";"119952";"0.00";"0";"0.00";"0.00"
"151775";"72828";"85680";"0.00";"0";"12852.00";"0.00"
"151778";"153150";"172057.44";"0.00";"0";"18907.44";"0.00"
"151780";"281826";"281826";"0.00";"0";"0.00";"0.00"
"151765";"71370";"85680";"0.00";"0";"8568.00";"5742.00"
"151841";"220536";"257040";"0.00";"0";"25704.00";"10800.00"
"151876";"148104";"148104";"0.00";"0";"0.00";"0.00"
"151893";"124286";"138095.56";"0.00";"0";"13809.56";"0.00"
"151920";"198969";"244187.78";"0.00";"0";"24418.78";"20800.00"
"151940";"95256";"105840";"0.00";"0";"10584.00";"0.00"
"151969";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"152012";"179316";"179316";"0.00";"0";"0.00";"0.00"
"152031";"266716";"296351.11";"0.00";"0";"29635.11";"0.00"
"152060";"175001";"205883.53";"0.00";"0";"30882.53";"0.00"
"152095";"187117";"207907";"0.00";"0";"20790.00";"0.00"
"152097";"611.52";"611.52";"0.00";"0";"0.00";"0.00"
"152115";"133358";"148175.56";"0.00";"0";"14817.56";"0.00"
"152117";"99868";"128520";"0.00";"0";"12852.00";"15800.00"
"152135";"172811";"197567.78";"0.00";"0";"19756.78";"5000.00"
"152114";"201050";"229500";"0.00";"0";"22950.00";"0.00"
"152161";"171360";"171360";"0.00";"0";"0.00";"0.00"
"152203";"115668";"128520";"0.00";"0";"12852.00";"0.00"
"152200";"128358";"148175.56";"0.00";"0";"14817.56";"5000.00"
"152220";"233852";"265391.11";"0.00";"0";"26539.11";"5000.00"
"152260";"180662";"200735.6";"0.00";"0";"20073.60";"0.00"
"152296";"62235";"98784.44";"0.00";"0";"9878.44";"26671.00"
"152291";"63521";"76980.44";"0.00";"0";"8459.44";"5000.00"
"152339";"72828";"85680";"0.00";"0";"12852.00";"0.00"
"152337";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"152395";"126544";"146160";"0.00";"0";"14616.00";"5000.00"
"152402";"178308";"204120";"0.00";"0";"20412.00";"5400.00"
"152404";"87998";"97775.56";"0.00";"0";"9777.56";"0.00"
"152405";"87998";"97775.56";"0.00";"0";"9777.56";"0.00"
"152406";"397640";"370440";"27200.00";"0";"0.00";"0.00"
"152433";"77282";"86823";"0.00";"0";"9541.00";"0.00"
"152463";"127235";"141372.22";"0.00";"0";"14137.22";"0.00"
"152460";"266716";"296351.11";"0.00";"0";"29635.11";"0.00"
"152475";"133358";"148175.56";"0.00";"0";"14817.56";"0.00"
"152472";"165564";"183960";"0.00";"0";"18396.00";"0.00"
"152484";"122209";"163547.78";"0.00";"0";"16354.78";"24984.00"
"152528";"148512";"148512";"0.00";"0";"0.00";"0.00"
"152557";"79834";"88704.44";"0.00";"0";"8870.44";"0.00"
"152558";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"152552";"111494";"130876";"0.00";"0";"14382.00";"5000.00"
"152553";"111494";"130876";"0.00";"0";"14382.00";"5000.00"
"152588";"340564";"378404.4";"0.00";"0";"37840.40";"0.00"
"152609";"155348";"148175.56";"21990.00";"0";"14817.56";"0.00"
"152682";"199357";"221507.78";"0.00";"0";"22150.78";"0.00"
"152710";"102044";"83160";"27200.00";"0";"8316.00";"0.00"
"152707";"115668";"128520";"0.00";"0";"12852.00";"0.00"
"152724";"190512";"211680";"0.00";"0";"21168.00";"0.00"
"152736";"100246";"111384.44";"0.00";"0";"11138.44";"0.00"
"152754";"415260";"466955.56";"0.00";"0";"46695.56";"5000.00"
"152792";"89349";"104832.22";"0.00";"0";"10483.22";"5000.00"
"152779";"156935";"179927.78";"0.00";"0";"17992.78";"5000.00"
"152801";"82091";"96767.78";"0.00";"0";"9676.78";"5000.00"
"152840";"313299";"348109.85";"0.00";"0";"34810.85";"0.00"
"152853";"167368";"191520";"0.00";"0";"19152.00";"5000.00"
"152859";"48684";"48684";"0.00";"0";"0.00";"0.00"
"152867";"158215";"188495.56";"0.00";"0";"18849.56";"11431.00"
"152896";"477.24";"544.16";"0.00";"0";"54.42";"0.00"
"153247";"69910";"92735.56";"0.00";"0";"9273.56";"13552.00"
"153354";"176845";"176845";"0.00";"0";"0.00";"0.00"
"153376";"343026";"343026";"0.00";"0";"0.00";"0.00"
"153382";"119794";"139104.44";"0.00";"0";"13910.44";"0.00"
"153454";"114922";"148176.4";"0.00";"0";"22226.40";"11028.00"
"153453";"38816";"48684.44";"0.00";"0";"4868.44";"5000.00"
"153466";"87998";"97775.56";"0.00";"0";"9777.56";"0.00"
"153504";"266366";"301517.78";"0.00";"0";"30151.78";"5000.00"
"153574";"186292";"223074.44";"0.00";"0";"22307.44";"0.00"
"153612";"149187";"187740";"0.00";"0";"18774.00";"19779.00"
"153651";"72576";"80640";"0.00";"0";"8064.00";"0.00"
"153709";"82091";"96767.78";"0.00";"0";"9676.78";"5000.00"
"153765";"86911";"109620";"0.00";"0";"10962.00";"11747.00"
"153771";"330988";"373320";"0.00";"0";"37332.00";"5000.00"
"153770";"313740";"313740";"0.00";"0";"0.00";"0.00"
"153781";"301417";"334907.78";"0.00";"0";"33490.78";"0.00"
"153800";"279480";"279480";"0.00";"0";"0.00";"0.00"
"153841";"126998";"146664.44";"0.00";"0";"14666.44";"5000.00"
"153868";"148176";"148176";"0.00";"0";"0.00";"0.00"
"153890";"115166";"115166";"0.00";"0";"0.00";"0.00"
"153904";"203296";"271907.78";"0.00";"0";"27190.78";"41421.00"
"153909";"433800";"433800";"0.00";"0";"0.00";"0.00"
"153912";"464400";"464400";"0.00";"0";"0.00";"0.00"
"153935";"116424";"116424";"0.00";"0";"0.00";"0.00"
"153943";"183708";"204120";"0.00";"0";"20412.00";"0.00"
"153954";"163296";"163296";"0.00";"0";"0.00";"0.00"
"153966";"100918";"100918";"0.00";"0";"0.00";"0.00"
"153979";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"153985";"70207";"97778.89";"0.00";"0";"10744.89";"16827.00"
"154051";"128358";"148175.56";"0.00";"0";"14817.56";"5000.00"
"154056";"161935";"179927.78";"0.00";"0";"17992.78";"0.00"
"154125";"179820";"199800";"0.00";"0";"19980.00";"0.00"
"154171";"89813";"99792.22";"0.00";"0";"9979.22";"0.00"
"154214";"144542";"166157.78";"0.00";"0";"16615.78";"5000.00"
"154291";"82998";"97775.56";"0.00";"0";"9777.56";"5000.00"
"154288";"796.38";"578.85";"217.53";"0";"0.00";"0.00"
"154305";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"154298";"103421";"114912.22";"0.00";"0";"11491.22";"0.00"
"154366";"83906";"98784.44";"0.00";"0";"9878.44";"5000.00"
"154743";"98784";"98784";"0.00";"0";"0.00";"0.00"
"154773";"192780";"214200";"0.00";"0";"21420.00";"0.00"
"154799";"85504";"95004.44";"0.00";"0";"9500.44";"0.00"
