,id,search_log_room_id,age,baby_bed,hotel_id
2651,3936,16476,4,0,hotel_3
2652,3937,16476,2,1,hotel_3
2653,3938,16486,5,0,hotel_3
2654,3939,16486,12,0,hotel_3
2655,3940,16490,9,0,hotel_3
2656,3941,16491,9,0,hotel_3
2657,3942,16492,14,0,hotel_3
2658,3943,16499,2,0,hotel_3
2659,3944,16502,16,0,hotel_3
2660,3945,16503,16,0,hotel_3
2661,3946,16507,9,0,hotel_3
2662,3947,16508,9,0,hotel_3
2663,3948,16513,5,0,hotel_3
2664,3949,16892,13,0,hotel_3
2665,3950,16893,14,0,hotel_3
2666,3951,16893,15,0,hotel_3
2667,3952,16894,12,0,hotel_3
2668,3953,16894,0,0,hotel_3
2669,3954,16895,12,0,hotel_3
2670,3955,16895,5,0,hotel_3
2671,3956,16896,12,0,hotel_3
2672,3957,16896,5,0,hotel_3
2673,3958,16903,1,1,hotel_3
2674,3959,16903,5,0,hotel_3
2675,3960,16903,6,0,hotel_3
2676,3961,16904,1,1,hotel_3
2677,3962,16904,5,0,hotel_3
2678,3963,16904,6,0,hotel_3
2679,3964,16905,1,1,hotel_3
2680,3965,16905,5,0,hotel_3
2681,3966,16905,6,0,hotel_3
2682,3967,16906,1,1,hotel_3
2683,3968,16906,5,0,hotel_3
2684,3969,16906,6,0,hotel_3
2685,3970,16907,4,0,hotel_3
2686,3971,16907,2,0,hotel_3
2687,3972,16908,1,1,hotel_3
2688,3973,16908,5,0,hotel_3
2689,3974,16908,6,0,hotel_3
2690,3975,16910,4,0,hotel_3
2691,3976,16910,2,0,hotel_3
2692,3977,16911,4,0,hotel_3
2693,3978,16911,2,0,hotel_3
2694,3979,16930,13,0,hotel_3
2695,3980,16931,13,0,hotel_3
2696,3981,16946,0,0,hotel_3
2697,3982,16947,4,0,hotel_3
2698,3983,16947,7,0,hotel_3
2699,3985,16957,16,0,hotel_3
2700,3986,16959,9,0,hotel_3
2701,3987,16963,9,0,hotel_3
2702,3988,16969,14,0,hotel_3
2703,3989,16971,2,0,hotel_3
2704,3990,16971,4,0,hotel_3
2705,3991,16980,16,0,hotel_3
2706,3992,16981,11,0,hotel_3
2707,3993,16981,15,0,hotel_3
2708,3994,16986,2,0,hotel_3
2709,3995,16989,8,0,hotel_3
2710,3996,16995,17,0,hotel_3
2711,3997,16999,9,0,hotel_3
2712,3998,17002,3,0,hotel_3
2713,3999,17002,5,0,hotel_3
2714,4000,17003,3,0,hotel_3
2715,4001,17003,5,0,hotel_3
2716,4008,17012,10,0,hotel_3
2717,4009,17024,12,0,hotel_3
2718,4010,17024,14,0,hotel_3
2719,4011,17025,2,0,hotel_3
2720,4012,17025,3,0,hotel_3
2721,4013,17026,15,0,hotel_3
2722,4014,17034,17,0,hotel_3
2723,4015,17047,0,0,hotel_3
2724,4016,17048,14,0,hotel_3
2725,4017,17049,17,0,hotel_3
