,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
205,4476,1049584862.1726662344,1726662468,google,cpc,(not set),hotel_3
206,4477,983362637.1726662792,1726662892,facebook,cpc,campaign_1,hotel_3
207,4478,1103919569.1726433038,1726663107,google,cpc,(not set),hotel_3
208,4479,1795682355.1726663121,1726663165,google,cpc,(not set),hotel_3
209,4480,2096196732.1714381976,1726663245,google,cpc,(not set),hotel_3
210,4481,194327735.1725980154,1726663266,google,organic,(not set),hotel_3
211,4482,902475900.1726663376,1726663461,google,cpc,(not set),hotel_3
212,4483,588935067.1726663042,1726663469,,nan,(not set),hotel_3
213,4484,1111374310.1726663553,1726663596,google,cpc,(not set),hotel_3
214,4485,33438575.1723726489,1726663659,google,organic,(not set),hotel_3
215,4486,1281348164.1724932850,1726663752,google,cpc,(not set),hotel_3
216,4487,1153768265.1726664075,1726664102,google,cpc,(not set),hotel_3
217,4488,333401966.1725529867,1726664302,google,cpc,(not set),hotel_3
218,4489,1524762920.1725540701,1726664307,google,cpc,(not set),hotel_3
219,4490,132200216.1726664325,1726664371,google,cpc,(not set),hotel_3
220,4491,613526431.1726664486,1726664533,google,cpc,(not set),hotel_3
221,4492,1583295213.1726664874,1726664893,google,cpc,(not set),hotel_3
222,4493,824061198.1726601076,1726664930,google,cpc,(not set),hotel_3
223,4494,340235474.1726664748,1726664958,google,cpc,(not set),hotel_3
224,4495,1129279880.1726664882,1726665183,google,cpc,(not set),hotel_3
225,4496,661361995.1726665050,1726665187,,nan,(not set),hotel_3
226,4497,1140534648.1713990720,1726665302,redir.d-edgeconnect.media,referral,(not set),hotel_3
227,4498,1120677006.1726665373,1726665408,google,cpc,(not set),hotel_3
228,4499,216254397.1726665440,1726665454,(direct),(not set),(not set),hotel_3
229,4500,342028065.1726665820,1726665861,google,organic,(not set),hotel_3
230,4501,1775894570.1706695336,1726666038,google,cpc,(not set),hotel_3
231,4502,102643333.1726504697,1726666046,google,cpc,(not set),hotel_3
232,4503,974898421.1726666410,1726666449,google,cpc,(not set),hotel_3
233,4504,168171791.1726666275,1726666610,,nan,(not set),hotel_3
234,4505,2050528524.1714038759,1726666621,facebook,cpc,campaign_1,hotel_3
235,4506,469612258.1725360457,1726666651,google,cpc,(not set),hotel_3
236,4507,918268112.1726666670,1726666735,google,cpc,(not set),hotel_3
237,4508,1983721288.1726666699,1726666770,google,cpc,(not set),hotel_3
238,4509,56571486.1726658288,1726666911,live,organic,(not set),hotel_3
239,4510,1122544709.1726666882,1726666978,facebook,cpc,campaign_1,hotel_3
240,4511,116144818.1726302268,1726667163,facebook,cpc,campaign_1,hotel_3
241,4512,894442213.1725446975,1726667165,google,cpc,(not set),hotel_3
242,4513,786798245.1726667197,1726667223,google,cpc,(not set),hotel_3
243,4514,1239570548.1726667235,1726667267,google,cpc,(not set),hotel_3
244,4515,1506539649.1726667418,1726667495,google,cpc,(not set),hotel_3
245,4516,1297828117.1726667634,1726667681,redir.d-edgeconnect.media,referral,(not set),hotel_3
246,4517,1427841735.1726667823,1726667868,google,organic,(not set),hotel_3
247,4518,659229605.1726667801,1726667882,google,cpc,(not set),hotel_3
248,4519,475665027.1726146818,1726667910,google,cpc,(not set),hotel_3
249,4520,106141308.1720704975,1726667982,bing,cpc,campaign_2,hotel_3
250,4521,78967978.1726667666,1726667990,google,cpc,(not set),hotel_3
251,4522,452125472.1726668071,1726668168,(direct),(not set),(not set),hotel_3
252,4523,1455640632.1726146053,1726668230,redir.d-edgeconnect.media,referral,(not set),hotel_3
253,4524,695481844.1726668250,1726668321,google,cpc,(not set),hotel_3
254,4525,733739381.1726668361,1726668387,google,cpc,(not set),hotel_3
255,4526,1900819926.1724412572,1726668578,google,cpc,(not set),hotel_3
256,4527,2037214368.1716235827,1726668612,,nan,(not set),hotel_3
257,4528,2037214368.1716235827,1726668770,google,organic,(not set),hotel_3
258,4529,2171969.1725994020,1726669080,facebook,cpc,campaign_1,hotel_3
259,4530,371718159.1719219281,1726669232,google,organic,(not set),hotel_3
260,4531,1802285759.1724589706,1726669283,live,organic,(not set),hotel_3
261,4532,499388700.1726628127,1726669351,google,cpc,(not set),hotel_3
262,4533,585463036.1726669426,1726669514,google,cpc,(not set),hotel_3
263,4534,980544792.1726667897,1726669514,google,cpc,(not set),hotel_3
264,4535,1156970476.1726669485,1726669541,(direct),(not set),(not set),hotel_3
265,4536,2035423916.1726669287,1726669655,google,organic,(not set),hotel_3
266,4537,991040640.1726669934,1726669973,google,cpc,(not set),hotel_3
267,4538,1116820482.1726512378,1726670075,google,organic,(not set),hotel_3
268,4539,750035043.1726670092,1726670184,(direct),(not set),(not set),hotel_3
269,4540,162471183.1726670172,1726670252,google,cpc,(not set),hotel_3
270,4541,741127891.1726670512,1726670536,google,cpc,(not set),hotel_3
271,4544,814039845.1726670858,1726670922,google,cpc,(not set),hotel_3
272,4545,887256123.1718476756,1726671123,google,cpc,(not set),hotel_3
273,4546,947498088.1726671224,1726671228,redir.d-edgeconnect.media,referral,(not set),hotel_3
274,4547,402218551.1726671536,1726671550,facebook,cpc,campaign_1,hotel_3
275,4548,499388700.1726628127,1726672343,google,cpc,(not set),hotel_3
276,4549,1573379588.1726671999,1726672600,google,organic,(not set),hotel_3
277,4550,1801879186.1726672506,1726672607,google,cpc,(not set),hotel_3
278,4551,1996424358.1726672582,1726672622,facebook,cpc,campaign_1,hotel_3
279,4552,146910611.1720677952,1726672656,google,cpc,(not set),hotel_3
280,4553,218318408.1726672819,1726672855,bing,cpc,HU ,hotel_3
281,4554,1192045696.1721760628,1726672985,google,cpc,hu_brand,hotel_3
282,4555,1630845790.1717334526,1726673288,,nan,(not set),hotel_3
283,4556,733739381.1726668361,1726673621,google,cpc,(not set),hotel_3
284,4557,53584330.1718794965,1726673913,facebook,cpc,campaign_1,hotel_3
285,4558,582047278.1719745621,1726674823,facebook,cpc,campaign_1,hotel_3
286,4559,811340626.1726674834,1726675021,google,cpc,(not set),hotel_3
287,4560,654897914.1724932269,1726675211,google,cpc,(not set),hotel_3
288,4561,1374503601.1726668644,1726675333,google,cpc,(not set),hotel_3
289,4562,1237958735.1724788044,1726675763,google,cpc,(not set),hotel_3
290,4563,245375090.1726675758,1726675794,google,cpc,(not set),hotel_3
291,4564,1007694494.1726676415,1726676493,google,organic,(not set),hotel_3
292,4565,294496795.1726676697,1726676727,google,cpc,(not set),hotel_3
293,4566,1065959163.1726676685,1726676809,,nan,(not set),hotel_3
294,4567,1638558266.1716133170,1726676858,,nan,(not set),hotel_3
295,4568,549348729.1726677291,1726677430,google,cpc,(not set),hotel_3
296,4569,396051485.1726493252,1726677480,google,cpc,(not set),hotel_3
297,4570,1236499032.1726490972,1726677674,google,organic,(not set),hotel_3
298,4571,460184982.1721398706,1726678239,facebook,cpc,campaign_1,hotel_3
299,4572,1662435520.1726678292,1726678332,google,organic,(not set),hotel_3
300,4573,441938477.1725910890,1726678334,,nan,(not set),hotel_3
301,4574,575315590.1726678645,1726678705,google,cpc,(not set),hotel_3
302,4575,233428222.1726415146,1726678742,,nan,(not set),hotel_3
303,4576,1741448238.1726678870,1726678926,google,cpc,(not set),hotel_3
304,4577,834385037.1726678992,1726679187,,nan,(not set),hotel_3
305,4578,126715463.1714668133,1726679405,,nan,(not set),hotel_3
306,4579,1125289764.1726679084,1726679496,google,cpc,(not set),hotel_3
307,4580,1693648135.1726679382,1726679669,google,cpc,(not set),hotel_3
308,4581,166467093.1726679879,1726679966,google,cpc,(not set),hotel_3
309,4582,626500874.1726604947,1726680028,,nan,(not set),hotel_3
