"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"6390";"113213";"2";"2";NULL;NULL;NULL
"6391";"113214";"2";"2";NULL;NULL;NULL
"6392";"113215";"2";"2";NULL;NULL;NULL
"6393";"113216";"2";"0";NULL;NULL;NULL
"6394";"113217";"2";"2";NULL;NULL;NULL
"6395";"113218";"2";"2";NULL;NULL;NULL
"6396";"113219";"2";"1";NULL;NULL;NULL
"6397";"113220";"2";"2";NULL;NULL;NULL
"6398";"113221";"2";"1";NULL;NULL;NULL
"6399";"113222";"2";"2";NULL;NULL;NULL
"6400";"113223";"2";"1";NULL;NULL;NULL
"6401";"113224";"2";"1";NULL;NULL;NULL
"6402";"113224";"2";"0";NULL;NULL;NULL
"6403";"113224";"2";"0";NULL;NULL;NULL
"6404";"113225";"2";"1";NULL;NULL;NULL
"6405";"113225";"2";"0";NULL;NULL;NULL
"6406";"113225";"2";"0";NULL;NULL;NULL
"6407";"113226";"2";"0";NULL;NULL;NULL
"6408";"113226";"2";"0";NULL;NULL;NULL
"6409";"113226";"2";"0";NULL;NULL;NULL
"6410";"113227";"2";"0";NULL;NULL;NULL
"6411";"113227";"2";"0";NULL;NULL;NULL
"6412";"113227";"2";"0";NULL;NULL;NULL
"6413";"113228";"2";"0";NULL;NULL;NULL
"6414";"113228";"2";"0";NULL;NULL;NULL
"6415";"113228";"2";"0";NULL;NULL;NULL
"6416";"113229";"2";"2";NULL;NULL;NULL
"6417";"113230";"2";"0";NULL;NULL;NULL
"6418";"113230";"2";"0";NULL;NULL;NULL
"6419";"113231";"2";"0";NULL;NULL;NULL
"6420";"113232";"1";"0";NULL;NULL;NULL
"6421";"113233";"2";"0";NULL;NULL;NULL
"6422";"113234";"2";"0";NULL;NULL;NULL
"6423";"113235";"2";"0";NULL;NULL;NULL
"6424";"113235";"2";"0";NULL;NULL;NULL
"6425";"113235";"2";"0";NULL;NULL;NULL
"6426";"113236";"2";"2";NULL;NULL;NULL
"6427";"113237";"2";"0";NULL;NULL;NULL
"6428";"113238";"2";"2";NULL;NULL;NULL
"6429";"113239";"2";"1";NULL;NULL;NULL
"6430";"113240";"1";"0";NULL;NULL;NULL
"6431";"113240";"1";"0";NULL;NULL;NULL
"6432";"113240";"1";"0";NULL;NULL;NULL
"6433";"113240";"1";"0";NULL;NULL;NULL
"6434";"113241";"1";"1";NULL;NULL;NULL
"6435";"113242";"2";"0";NULL;NULL;NULL
"6436";"113242";"2";"0";NULL;NULL;NULL
"6437";"113242";"2";"1";NULL;NULL;NULL
"6438";"113243";"2";"0";NULL;NULL;NULL
"6439";"113244";"2";"1";NULL;NULL;NULL
"6440";"113245";"3";"1";NULL;NULL;NULL
"6441";"113246";"2";"1";NULL;NULL;NULL
