,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total,hotel_id
285,90289,326982.0,422324.44,0.0,0,42232.44,53110.0,hotel_2
286,90545,751.23,751.23,0.0,0,0.0,0.0,hotel_2
287,90568,106084.0,119180.78,0.0,0,13096.78,0.0,hotel_2
288,90569,70143.0,88054.33,0.0,0,9676.33,8235.0,hotel_2
289,90599,250382.4,250382.4,0.0,0,0.0,0.0,hotel_2
290,90624,261036.0,295595.6,0.0,0,29559.6,5000.0,hotel_2
291,90671,83128.0,97920.0,0.0,0,9792.0,5000.0,hotel_2
292,90699,306246.0,351180.0,0.0,0,35118.0,9816.0,hotel_2
293,90742,132192.0,146880.0,0.0,0,14688.0,0.0,hotel_2
294,90932,261.63,261.63,0.0,0,0.0,0.0,hotel_2
295,91008,385560.0,428400.0,0.0,0,42840.0,0.0,hotel_2
296,91043,413608.0,465120.0,0.0,0,46512.0,5000.0,hotel_2
297,91258,71814.0,88594.67,0.0,0,9735.67,7045.0,hotel_2
298,91264,249251.0,282945.55,0.0,0,28294.55,5400.0,hotel_2
299,91316,213999.0,237887.78,0.0,0,23788.78,100.0,hotel_2
300,91322,145152.0,161280.0,0.0,0,16128.0,0.0,hotel_2
301,91369,317560.0,322560.0,0.0,0,0.0,0.0,hotel_2
302,91373,73980.0,88200.0,0.0,0,8820.0,5400.0,hotel_2
303,91383,107995.0,132552.22,0.0,0,13255.22,11302.0,hotel_2
304,91390,156038.0,173375.56,0.0,0,17337.56,0.0,hotel_2
305,91389,217728.0,241920.0,0.0,0,24192.0,0.0,hotel_2
306,91397,72576.0,80640.0,0.0,0,8064.0,0.0,hotel_2
307,91396,91118.0,97920.0,2990.0,0,9792.0,0.0,hotel_2
308,91401,194584.0,221760.0,0.0,0,22176.0,5000.0,hotel_2
309,91405,134136.0,149040.0,0.0,0,14904.0,0.0,hotel_2
310,91442,109814.0,128015.56,0.0,0,12801.56,5400.0,hotel_2
311,91465,115926.0,131040.0,2990.0,0,13104.0,5000.0,hotel_2
312,91467,156011.0,181450.67,0.0,0,19939.67,5500.0,hotel_2
313,91510,168336.0,168336.0,0.0,0,0.0,0.0,hotel_2
314,91513,91627.0,101807.8,0.0,0,10180.8,0.0,hotel_2
315,91527,72576.0,80640.0,0.0,0,8064.0,0.0,hotel_2
316,91456,104040.0,104040.0,0.0,0,0.0,0.0,hotel_2
317,91548,67738.0,84672.48,0.0,0,16934.48,0.0,hotel_2
318,91537,80640.0,80640.0,0.0,0,0.0,0.0,hotel_2
319,91552,118541.0,148176.24,0.0,0,29635.24,0.0,hotel_2
320,91554,118541.0,148176.25,0.0,0,29635.25,0.0,hotel_2
321,91573,86285.0,107856.24,0.0,0,21571.24,0.0,hotel_2
322,91570,75298.0,83664.44,0.0,0,8366.44,0.0,hotel_2
323,91597,290239.0,347004.44,0.0,0,34700.44,22065.0,hotel_2
324,91634,172811.0,197567.78,0.0,0,19756.78,5000.0,hotel_2
325,91658,115926.0,131040.0,2990.0,0,13104.0,5000.0,hotel_2
326,91693,120960.0,120960.0,0.0,0,0.0,0.0,hotel_2
327,91730,79834.0,88704.44,0.0,0,8870.44,0.0,hotel_2
328,91831,108864.0,120960.0,0.0,0,12096.0,0.0,hotel_2
329,91829,162388.0,180431.11,0.0,0,18043.11,0.0,hotel_2
330,91840,201550.0,229500.0,0.0,0,22950.0,5000.0,hotel_2
331,91849,93885.0,109872.22,0.0,0,10987.22,5000.0,hotel_2
332,91894,116172.0,116172.0,0.0,0,0.0,0.0,hotel_2
333,91971,90768.0,136080.0,9800.0,0,20412.0,34700.0,hotel_2
334,92001,196278.0,220320.0,2990.0,0,22032.0,5000.0,hotel_2
335,92046,31288.0,40320.0,0.0,0,4032.0,5000.0,hotel_2
336,92091,150665.0,167405.6,0.0,0,16740.6,0.0,hotel_2
337,92126,95130.0,80640.0,14490.0,0,0.0,0.0,hotel_2
338,92128,225882.0,256535.56,0.0,0,25653.56,5000.0,hotel_2
339,92148,201398.0,223775.56,0.0,0,22377.56,0.0,hotel_2
340,92153,454410.0,504900.0,0.0,0,50490.0,0.0,hotel_2
341,92145,111847.0,142631.77,0.0,0,21394.77,9390.0,hotel_2
342,92162,176653.0,201836.67,0.0,0,20183.67,5000.0,hotel_2
343,92178,72576.0,80640.0,0.0,0,8064.0,0.0,hotel_2
344,92175,278377.0,314863.33,0.0,0,31486.33,5000.0,hotel_2
345,92223,147168.0,147168.0,0.0,0,0.0,0.0,hotel_2
346,92266,72576.0,90720.0,0.0,0,18144.0,0.0,hotel_2
347,92286,72576.0,80640.0,0.0,0,8064.0,0.0,hotel_2
348,92383,93636.0,104040.0,0.0,0,10404.0,0.0,hotel_2
349,92517,114566.0,114566.0,0.0,0,0.0,0.0,hotel_2
350,92543,136217.0,172872.22,0.0,0,17287.22,19368.0,hotel_2
351,92663,158766.0,174240.0,6950.0,0,17424.0,5000.0,hotel_2
352,92651,151638.0,166320.0,6950.0,0,16632.0,5000.0,hotel_2
353,92677,184426.0,248400.0,0.0,0,37260.0,26714.0,hotel_2
354,92704,220320.0,244800.0,0.0,0,24480.0,0.0,hotel_2
355,92718,99792.0,99792.0,0.0,0,0.0,0.0,hotel_2
356,92728,166342.0,166342.0,0.0,0,0.0,0.0,hotel_2
357,92736,142632.0,142632.0,0.0,0,0.0,0.0,hotel_2
358,92812,266716.0,296351.11,0.0,0,29635.11,0.0,hotel_2
359,92814,115668.0,128520.0,0.0,0,12852.0,0.0,hotel_2
360,92839,198180.0,198180.0,0.0,0,0.0,0.0,hotel_2
361,92852,102552.0,145266.67,0.0,0,14526.67,28188.0,hotel_2
362,92860,379210.0,416606.78,0.0,0,37396.78,0.0,hotel_2
363,92883,110880.0,110880.0,0.0,0,0.0,0.0,hotel_2
364,92887,111888.0,111888.0,0.0,0,0.0,0.0,hotel_2
365,92937,96153.0,112392.22,0.0,0,11239.22,5000.0,hotel_2
366,92942,76777.0,101515.56,0.0,0,11155.56,13583.0,hotel_2
367,92963,163739.0,187487.78,0.0,0,18748.78,5000.0,hotel_2
