"id";"search_log_id";"search_log_room_id";"room_code";"room_price_min";"room_price_max"
"46856";"86042";"14219";"ROOMCC";"182376.00";"231733.00"
"46857";"86042";"14219";"ROOMBB";"219096.00";"273461.00"
"46858";"86042";"14219";"ROOMFF";"237456.00";"294325.00"
"46859";"86043";"14220";"ROOMCC";"156240.00";"188645.00"
"46860";"86043";"14220";"ROOMEE";"213840.00";"246247.00"
"46861";"86043";"14220";"ROOMHH";"257040.00";"289448.00"
"46862";"86044";"14221";"ROOMAA";"121176.00";"162186.00"
"46863";"86044";"14221";"ROOMGG";"127296.00";"169140.00"
"46864";"86044";"14221";"ROOMCC";"127296.00";"169140.00"
"46865";"86044";"14221";"ROOMBB";"151776.00";"196958.00"
"46866";"86044";"14221";"ROOMFF";"164016.00";"210868.00"
"46867";"86045";"14222";"ROOMDD";"172800.00";"220320.00"
"46868";"86045";"14222";"ROOMAA";"183600.00";"232560.00"
"46869";"86045";"14222";"ROOMGG";"194400.00";"244800.00"
"46870";"86045";"14222";"ROOMCC";"194400.00";"244800.00"
"46871";"86045";"14222";"ROOMBB";"237600.00";"293760.00"
"46872";"86045";"14222";"ROOMFF";"259200.00";"318240.00"
"46873";"86046";"14223";"ROOMDD";"318240.00";"318240.00"
"46874";"86046";"14223";"ROOMGG";"336600.00";"336600.00"
"46875";"86046";"14223";"ROOMCC";"336600.00";"336600.00"
"46876";"86046";"14223";"ROOMBB";"373320.00";"373320.00"
"46877";"86047";"14224";"ROOMAA";"121176.00";"162186.00"
"46878";"86047";"14224";"ROOMGG";"127296.00";"169140.00"
"46879";"86047";"14224";"ROOMCC";"127296.00";"169140.00"
"46880";"86047";"14224";"ROOMBB";"151776.00";"196958.00"
"46881";"86047";"14224";"ROOMFF";"164016.00";"210868.00"
"46882";"86049";"14226";"ROOMHH";"409428.00";"409428.00"
"46883";"86050";"14227";"ROOMEE";"260712.00";"260712.00"
"46884";"86050";"14227";"ROOMHH";"315792.00";"315792.00"
"46885";"86051";"14228";"ROOMCC";"335376.00";"335376.00"
"46886";"86051";"14228";"ROOMEE";"358999.00";"358999.00"
"46887";"86051";"14228";"ROOMHH";"414079.00";"414079.00"
"46888";"86052";"14229";"ROOMCC";"378828.00";"378828.00"
"46889";"86052";"14229";"ROOMHH";"550188.00";"550188.00"
"46890";"86053";"14230";"ROOMGG";"466.50";"534.40"
"46891";"86053";"14230";"ROOMCC";"466.50";"534.40"
"46892";"86053";"14230";"ROOMBB";"546.50";"614.48"
"46893";"86053";"14230";"ROOMFF";"586.50";"654.08"
"46894";"86054";"14231";"ROOMGG";"466.00";"562.00"
"46895";"86054";"14231";"ROOMCC";"466.00";"562.00"
"46896";"86054";"14231";"ROOMBB";"546.00";"642.00"
"46897";"86054";"14231";"ROOMFF";"586.00";"682.00"
"46898";"86055";"14232";"ROOMAA";"121176.00";"162186.00"
"46899";"86055";"14232";"ROOMGG";"127296.00";"169140.00"
"46900";"86055";"14232";"ROOMCC";"127296.00";"169140.00"
"46901";"86055";"14232";"ROOMBB";"151776.00";"196958.00"
"46902";"86055";"14232";"ROOMFF";"164016.00";"210868.00"
"46903";"86056";"14233";"ROOMAA";"121176.00";"162186.00"
