,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
1681,7048,1355802136.1727006539,1727032890,,nan,(not set),hotel_1
1682,7049,1599652476.1726673903,1727032938,,nan,(not set),hotel_1
1683,7050,1674654052.1727032851,1727032999,m.facebook.com,referral,(not set),hotel_1
1684,7051,798837504.1726953286,1727033203,google,cpc,(not set),hotel_1
1685,7052,60126229.1727033295,1727033310,google,cpc,,hotel_1
1686,7053,1496690952.1723228699,1727033345,facebook,cpc,campaign_1,hotel_1
1687,7054,909991409.1727032475,1727033368,google,cpc,hu_brand,hotel_1
1688,7055,990638928.1727032875,1727033383,live,organic,(not set),hotel_1
1689,7056,1101371534.1727033317,1727033394,google,cpc,hu_brand,hotel_1
1690,7057,2050284042.1727031380,1727033407,google,organic,(not set),hotel_1
1691,7058,1416725330.1727033383,1727033408,google,cpc,hu_brand,hotel_1
1692,7060,1213645108.1727033599,1727033730,lm.facebook.com,referral,(not set),hotel_1
1693,7061,2082215604.1727033740,1727033905,facebook,cpc,campaign_1,hotel_1
1694,7062,597945358.1726913881,1727033911,,nan,(not set),hotel_1
1695,7063,831831239.1727034014,1727034043,redir.d-edgeconnect.media,referral,(not set),hotel_1
1696,7064,139883529.1722083547,1727034067,(direct),(not set),(not set),hotel_1
1697,7065,427662897.1726924385,1727034108,,nan,(not set),hotel_1
1698,7066,1706837982.1722619513,1727034352,google,cpc,hu_brand,hotel_1
1699,7067,403459605.1727034291,1727034380,facebook,cpc,campaign_1,hotel_1
1700,7068,1760861891.1727034264,1727034602,,nan,(not set),hotel_1
1701,7069,f90fcfc7-9697-43ca-a582-9da26e868edf,1727035000,facebook,cpc,campaign_1,hotel_1
1702,7070,86823963.1727035045,1727035112,google,cpc,hu_brand,hotel_1
1703,7071,746791710.1725656032,1727035353,google,cpc,hu_brand,hotel_1
1704,7072,2101923088.1727035298,1727035427,facebook,cpc,campaign_1,hotel_1
1705,7073,1597402480.1727035375,1727035477,google,organic,(not set),hotel_1
1706,7074,1288921405.1727035428,1727035488,google,cpc,,hotel_1
1707,7075,1463422765.1726718331,1727035928,(direct),(not set),(not set),hotel_1
1708,7172,678727991.1727035987,1727036011,l.facebook.com,referral,(not set),hotel_1
1709,7311,139883529.1722083547,1727036289,(direct),(not set),(not set),hotel_1
1710,7312,1172358466.1726988220,1727036415,,nan,(not set),hotel_1
1711,7313,c3035ddf-eac1-4730-a7cd-d792b550a671,1727036497,google,organic,(not set),hotel_1
1712,7314,d6b76cd8-a4d1-47b5-9318-81d1057cd5ab,1727036497,google,organic,(not set),hotel_1
1713,7315,139946373.1727036449,1727036551,l.facebook.com,referral,(not set),hotel_1
1714,7316,73742dee-edf0-44e6-b7b9-f1861591500f,1727036497,google,organic,(not set),hotel_1
1715,7317,1767456912.1727036400,1727036558,l.facebook.com,referral,(not set),hotel_1
1716,7318,2299b80b-1d99-4ee0-b8b4-6344d9f63898,1727036497,google,organic,(not set),hotel_1
1717,7319,682592079.1727036477,1727036686,google,cpc,,hotel_1
